,Party Name,Total Winning,Constituency,Winning Candidate,Total Votes,Margin,State
736,Janata Dal  (Secular) - JD(S),2,Davanagere(13),DR. PRABHA MALLIKARJUN,633059,26094,Karnataka
737,Janata Dal  (Secular) - JD(S),2,Hassan(16),SHREYAS. M. PATEL,672988,42649,Karnataka
738,Janata Dal  (Secular) - JD(S),2,Chamarajanagar(22),SUNIL BOSE,751671,188706,Karnataka
739,Janata Dal  (Secular) - JD(S),2,Mandya(20),H.D. KUMARASWAMY,851881,284620,Karnataka
740,Janata Dal  (Secular) - JD(S),2,Kolar(28),M. MALLESH BABU,691481,71388,Karnataka
741,Indian National Congress - INC,14,Kasaragod(1),RAJMOHAN UNNITHAN,490659,100649,Kerala
742,Indian National Congress - INC,14,Kannur(2),K. SUDHAKARAN,518524,108982,Kerala
743,Indian National Congress - INC,14,Vadakara(3),SHAFI PARAMBIL,557528,114506,Kerala
744,Indian National Congress - INC,14,Wayanad(4),RAHUL GANDHI,647445,364422,Kerala
745,Indian National Congress - INC,14,Kozhikode(5),M. K. RAGHAVAN,520421,146176,Kerala
746,Indian National Congress - INC,14,Palakkad(8),V K SREEKANDAN,421169,75283,Kerala
747,Indian National Congress - INC,14,Chalakudy(11),BENNY BEHANAN,394171,63754,Kerala
748,Indian National Congress - INC,14,Ernakulam(12),HIBI EDEN,482317,250385,Kerala
749,Indian National Congress - INC,14,Idukki(13),ADV. DEAN KURIAKOSE,432372,133727,Kerala
750,Indian National Congress - INC,14,Alappuzha(15),K. C VENUGOPAL,404560,63513,Kerala
751,Indian National Congress - INC,14,Mavelikkara (16),KODIKUNNIL SURESH,369516,10868,Kerala
752,Indian National Congress - INC,14,Pathanamthitta(17),ANTO ANTONY,367623,66119,Kerala
753,Indian National Congress - INC,14,Attingal(19),ADV ADOOR PRAKASH,328051,684,Kerala
754,Indian National Congress - INC,14,Thiruvananthapuram(20),SHASHI THAROOR,358155,16077,Kerala
755,Indian National Congress - INC,14,Malappuram(6),E.T.  MOHAMMED BASHEER,644006,300118,Kerala
756,Indian National Congress - INC,14,Ponnani(7),DR. M.P ABDUSSAMAD SAMADANI,562516,235760,Kerala
757,Indian National Congress - INC,14,Alathur (9),K.RADHAKRISHNAN,403447,20111,Kerala
758,Indian National Congress - INC,14,Thrissur(10),SURESH GOPI,412338,74686,Kerala
759,Indian National Congress - INC,14,Kottayam(14),ADV K FRANCIS GEORGE,364631,87266,Kerala
760,Indian National Congress - INC,14,Kollam(18),N K PREMACHANDRAN,443628,150302,Kerala
761,Indian Union Muslim League - IUML,2,Kasaragod(1),RAJMOHAN UNNITHAN,490659,100649,Kerala
762,Indian Union Muslim League - IUML,2,Kannur(2),K. SUDHAKARAN,518524,108982,Kerala
763,Indian Union Muslim League - IUML,2,Vadakara(3),SHAFI PARAMBIL,557528,114506,Kerala
764,Indian Union Muslim League - IUML,2,Wayanad(4),RAHUL GANDHI,647445,364422,Kerala
765,Indian Union Muslim League - IUML,2,Kozhikode(5),M. K. RAGHAVAN,520421,146176,Kerala
766,Indian Union Muslim League - IUML,2,Palakkad(8),V K SREEKANDAN,421169,75283,Kerala
767,Indian Union Muslim League - IUML,2,Chalakudy(11),BENNY BEHANAN,394171,63754,Kerala
768,Indian Union Muslim League - IUML,2,Ernakulam(12),HIBI EDEN,482317,250385,Kerala
769,Indian Union Muslim League - IUML,2,Idukki(13),ADV. DEAN KURIAKOSE,432372,133727,Kerala
770,Indian Union Muslim League - IUML,2,Alappuzha(15),K. C VENUGOPAL,404560,63513,Kerala
771,Indian Union Muslim League - IUML,2,Mavelikkara (16),KODIKUNNIL SURESH,369516,10868,Kerala
772,Indian Union Muslim League - IUML,2,Pathanamthitta(17),ANTO ANTONY,367623,66119,Kerala
773,Indian Union Muslim League - IUML,2,Attingal(19),ADV ADOOR PRAKASH,328051,684,Kerala
774,Indian Union Muslim League - IUML,2,Thiruvananthapuram(20),SHASHI THAROOR,358155,16077,Kerala
775,Indian Union Muslim League - IUML,2,Malappuram(6),E.T.  MOHAMMED BASHEER,644006,300118,Kerala
776,Indian Union Muslim League - IUML,2,Ponnani(7),DR. M.P ABDUSSAMAD SAMADANI,562516,235760,Kerala
777,Indian Union Muslim League - IUML,2,Alathur (9),K.RADHAKRISHNAN,403447,20111,Kerala
778,Indian Union Muslim League - IUML,2,Thrissur(10),SURESH GOPI,412338,74686,Kerala
779,Indian Union Muslim League - IUML,2,Kottayam(14),ADV K FRANCIS GEORGE,364631,87266,Kerala
780,Indian Union Muslim League - IUML,2,Kollam(18),N K PREMACHANDRAN,443628,150302,Kerala
781,Communist Party of India  (Marxist) - CPI(M),1,Kasaragod(1),RAJMOHAN UNNITHAN,490659,100649,Kerala
782,Communist Party of India  (Marxist) - CPI(M),1,Kannur(2),K. SUDHAKARAN,518524,108982,Kerala
783,Communist Party of India  (Marxist) - CPI(M),1,Vadakara(3),SHAFI PARAMBIL,557528,114506,Kerala
784,Communist Party of India  (Marxist) - CPI(M),1,Wayanad(4),RAHUL GANDHI,647445,364422,Kerala
785,Communist Party of India  (Marxist) - CPI(M),1,Kozhikode(5),M. K. RAGHAVAN,520421,146176,Kerala
786,Communist Party of India  (Marxist) - CPI(M),1,Palakkad(8),V K SREEKANDAN,421169,75283,Kerala
787,Communist Party of India  (Marxist) - CPI(M),1,Chalakudy(11),BENNY BEHANAN,394171,63754,Kerala
788,Communist Party of India  (Marxist) - CPI(M),1,Ernakulam(12),HIBI EDEN,482317,250385,Kerala
789,Communist Party of India  (Marxist) - CPI(M),1,Idukki(13),ADV. DEAN KURIAKOSE,432372,133727,Kerala
790,Communist Party of India  (Marxist) - CPI(M),1,Alappuzha(15),K. C VENUGOPAL,404560,63513,Kerala
791,Communist Party of India  (Marxist) - CPI(M),1,Mavelikkara (16),KODIKUNNIL SURESH,369516,10868,Kerala
792,Communist Party of India  (Marxist) - CPI(M),1,Pathanamthitta(17),ANTO ANTONY,367623,66119,Kerala
793,Communist Party of India  (Marxist) - CPI(M),1,Attingal(19),ADV ADOOR PRAKASH,328051,684,Kerala
794,Communist Party of India  (Marxist) - CPI(M),1,Thiruvananthapuram(20),SHASHI THAROOR,358155,16077,Kerala
795,Communist Party of India  (Marxist) - CPI(M),1,Malappuram(6),E.T.  MOHAMMED BASHEER,644006,300118,Kerala
796,Communist Party of India  (Marxist) - CPI(M),1,Ponnani(7),DR. M.P ABDUSSAMAD SAMADANI,562516,235760,Kerala
797,Communist Party of India  (Marxist) - CPI(M),1,Alathur (9),K.RADHAKRISHNAN,403447,20111,Kerala
798,Communist Party of India  (Marxist) - CPI(M),1,Thrissur(10),SURESH GOPI,412338,74686,Kerala
799,Communist Party of India  (Marxist) - CPI(M),1,Kottayam(14),ADV K FRANCIS GEORGE,364631,87266,Kerala
800,Communist Party of India  (Marxist) - CPI(M),1,Kollam(18),N K PREMACHANDRAN,443628,150302,Kerala
801,Bharatiya Janata Party - BJP,1,Kasaragod(1),RAJMOHAN UNNITHAN,490659,100649,Kerala
802,Bharatiya Janata Party - BJP,1,Kannur(2),K. SUDHAKARAN,518524,108982,Kerala
803,Bharatiya Janata Party - BJP,1,Vadakara(3),SHAFI PARAMBIL,557528,114506,Kerala
804,Bharatiya Janata Party - BJP,1,Wayanad(4),RAHUL GANDHI,647445,364422,Kerala
805,Bharatiya Janata Party - BJP,1,Kozhikode(5),M. K. RAGHAVAN,520421,146176,Kerala
806,Bharatiya Janata Party - BJP,1,Palakkad(8),V K SREEKANDAN,421169,75283,Kerala
807,Bharatiya Janata Party - BJP,1,Chalakudy(11),BENNY BEHANAN,394171,63754,Kerala
808,Bharatiya Janata Party - BJP,1,Ernakulam(12),HIBI EDEN,482317,250385,Kerala
809,Bharatiya Janata Party - BJP,1,Idukki(13),ADV. DEAN KURIAKOSE,432372,133727,Kerala
810,Bharatiya Janata Party - BJP,1,Alappuzha(15),K. C VENUGOPAL,404560,63513,Kerala
811,Bharatiya Janata Party - BJP,1,Mavelikkara (16),KODIKUNNIL SURESH,369516,10868,Kerala
812,Bharatiya Janata Party - BJP,1,Pathanamthitta(17),ANTO ANTONY,367623,66119,Kerala
813,Bharatiya Janata Party - BJP,1,Attingal(19),ADV ADOOR PRAKASH,328051,684,Kerala
814,Bharatiya Janata Party - BJP,1,Thiruvananthapuram(20),SHASHI THAROOR,358155,16077,Kerala
815,Bharatiya Janata Party - BJP,1,Malappuram(6),E.T.  MOHAMMED BASHEER,644006,300118,Kerala
816,Bharatiya Janata Party - BJP,1,Ponnani(7),DR. M.P ABDUSSAMAD SAMADANI,562516,235760,Kerala
817,Bharatiya Janata Party - BJP,1,Alathur (9),K.RADHAKRISHNAN,403447,20111,Kerala
818,Bharatiya Janata Party - BJP,1,Thrissur(10),SURESH GOPI,412338,74686,Kerala
819,Bharatiya Janata Party - BJP,1,Kottayam(14),ADV K FRANCIS GEORGE,364631,87266,Kerala
820,Bharatiya Janata Party - BJP,1,Kollam(18),N K PREMACHANDRAN,443628,150302,Kerala
